MA_diff1,MA_diff2,MACD,SLOPE5,SLOPE15,SLOPE_diff,SKEW10,RSI20,RSI_SIG,BOLL_SIG,KALMAN_SIG
18.16666667,-18.66666667,38.43171039,9.5,6.975386633,-16.47538663,0.433078286,0.72750061,-1,0,-1
17.33333333,-21.83333333,24.06813609,12,3.731690024,-15.73169002,0.101814479,0.70632298,-1,0,-1
-13.66666667,6.666666667,6.111085866,3,4.11810244,-7.11810244,2.67279057,0.605771271,-1,-1,-1
16.33333333,3.166666667,2.499444647,-13,3.468339498,9.531660502,-0.689780063,0.493503353,0,0,-1
-16.16666667,14.66666667,-1.817132826,5,2.574181815,-7.574181815,0.23665226,0.469410307,0,0,-1
-118.3333333,107.3333333,2.081984329,22.5,0.366722384,-22.86672238,-0.115815288,0.595119761,0,-1,-1
-53,58.5,-23.19840107,-18.75,8.206092318,10.54390768,-1.131310158,0.370629141,1,0,-1
406,-408,-15.29566626,-15.25,4.4153843,10.8346157,-1.67491811,0.239153887,1,1,-1
41.66666667,-5.666666667,-51.01377417,-32,0.262068102,31.7379319,-0.75421644,0.304997931,1,0,-1
-119.6666667,136.1666667,49.05303085,36.5,5.831391475,-42.33139148,0.496976642,0.631619685,-1,-1,-1
21.83333333,-26.33333333,24.15626121,17,5.991136526,-22.99113653,0.812982191,0.566277597,0,0,-1
-19.66666667,13.66666667,27.89180101,-12.75,2.788851947,9.961148053,-0.042944601,0.62453236,-1,0,-1
-37.33333333,3.833333333,-41.93837303,-9.75,0.007931635,9.742068365,-0.044078983,0.315996965,1,0,-1
52.83333333,-33.33333333,-60.04524838,-9,3.568363068,5.431636932,0.594512908,0.364683579,1,1,-1
0.166666667,-10.16666667,-27.63025191,-4,-4.643733823,8.643733823,-0.76351804,0.304967188,1,0,-1
30.33333333,-13.33333333,33.23985276,-17.25,4.062454711,13.18754529,0.379520694,0.595337317,0,1,-1
94.33333333,-78.83333333,42.79827328,-1.5,-0.288167372,1.788167372,-0.088927567,0.451001151,0,1,-1
-17.83333333,26.33333333,9.871860126,-14.5,2.640535238,11.85946476,-1.708352688,0.51562486,0,0,-1
36.66666667,7.833333333,13.77615402,-6.75,2.684828693,4.065171307,-1.368146508,0.569279697,0,1,-1
18.83333333,-7.333333333,-95.11627983,-9.75,2.850614721,6.899385279,0.007874362,0.216158352,1,0,-1
-20,4.5,-11.98087934,-11.5,3.596841951,7.903158049,-1.435974904,0.298255456,1,0,-1
41.66666667,-17.66666667,-30.92913535,-25,4.791990127,20.20800987,-0.635834583,0.138671012,1,0,-1
